Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
40,Travel_Rarely,1388,Human Resources,42,error: Field 'JobRole' not found,Life Sciences,1,17-1590227,4,Female,54,1,3,Sales Executive,3,Married,6912,8640,1,Yes,No,16,4,3,80,2,13,1,3,33,0,0,3,No
52,Travel_Frequently,1210,Sales,13,error: Field 'JobRole' not found,Life Sciences,1,11-8431387,4,Male,142,1,2,Manufacturing Director,3,Single,18176,22720,8,Yes,No,15,3,1,80,0,3,2,3,18,13,4,7,Yes
31,Non-Travel,878,Research & Development,20,error: Field 'JobRole' not found,Other,1,86-5146539,4,Female,55,4,4,Laboratory Technician,2,Married,7040,8800,0,Yes,No,16,3,3,80,3,27,5,2,0,15,2,4,Yes
24,Travel_Rarely,756,Sales,34,error: Field 'JobRole' not found,Other,1,85-9386105,4,Male,51,3,3,Laboratory Technician,4,Single,6528,8160,0,Yes,No,14,1,2,80,1,4,1,3,13,5,11,9,No
27,Non-Travel,429,Sales,27,error: Field 'JobRole' not found,Life Sciences,1,74-4654004,1,Male,139,1,3,Manufacturing Director,3,Married,17792,22240,2,Yes,No,24,1,2,80,2,19,4,1,3,4,8,13,Yes
38,Travel_Rarely,422,Human Resources,42,error: Field 'JobRole' not found,Medical,1,42-4562952,1,Male,95,3,2,Manufacturing Director,1,Single,12160,15200,0,Yes,No,18,2,4,80,1,28,0,4,13,3,6,10,Yes
30,Non-Travel,973,Human Resources,39,error: Field 'JobRole' not found,Life Sciences,1,89-5219052,2,Male,59,2,2,Healthcare Representative,1,Single,7552,9440,5,Yes,No,14,2,1,80,1,13,4,2,29,12,3,1,Yes
54,Travel_Rarely,1223,Human Resources,26,error: Field 'JobRole' not found,Sales,1,18-6958191,3,Male,72,3,2,Human Resources,1,Single,9216,11520,1,Yes,No,25,1,1,80,0,32,2,3,40,7,14,7,No
31,Travel_Frequently,1261,Research & Development,9,error: Field 'JobRole' not found,Other,1,42-9889531,3,Male,70,3,5,Human Resources,4,Single,8960,11200,5,Yes,No,20,4,4,80,2,32,2,3,34,13,5,10,No
27,Travel_Frequently,1264,Sales,19,error: Field 'JobRole' not found,Technical Degree,1,41-5852957,2,Male,110,1,2,Sales Executive,3,Single,14080,17600,0,Yes,No,21,1,4,80,1,13,5,3,23,14,10,11,Yes
