Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
20,Non-Travel,870,Human Resources,44,2,Human Resources,1,68-5716114,1,Male,126,4,2,Manager,3,Married,20160,16128,6,Yes,No,13,2,4,80,0,27,5,2,8,2,0,14,No
45,Non-Travel,458,Human Resources,39,4,Human Resources,1,09-4992202,3,Male,75,4,3,Research Scientist,2,Single,12000,9600,6,Yes,No,25,1,4,80,2,38,3,4,36,15,2,12,No
27,Travel_Frequently,871,Human Resources,23,1,Life Sciences,1,95-3976742,4,Female,123,4,5,Sales Executive,3,Single,19680,15744,3,Yes,No,13,3,1,80,3,39,0,3,32,18,0,8,Yes
41,Non-Travel,1237,Research & Development,44,1,Human Resources,1,73-6209120,3,Female,140,4,1,Sales Representative,2,Married,22400,17920,1,Yes,No,12,2,1,80,1,38,6,3,10,18,10,12,Yes
48,Non-Travel,882,Human Resources,24,2,Technical Degree,1,90-5506869,4,Female,116,2,4,Sales Executive,2,Single,18560,14848,6,Yes,No,13,2,2,80,3,19,5,2,10,6,7,15,Yes
47,Travel_Frequently,1112,Sales,36,4,Human Resources,1,74-2062270,2,Female,138,2,1,Laboratory Technician,3,Married,22080,17664,8,Yes,No,10,3,2,80,1,12,5,3,25,20,4,9,Yes
51,Non-Travel,425,Human Resources,16,1,Life Sciences,1,30-3361848,3,Female,94,2,4,Sales Representative,4,Single,15040,12032,4,Yes,No,22,4,1,80,3,39,1,2,34,3,4,15,No
55,Non-Travel,1272,Research & Development,45,3,Human Resources,1,45-4751780,3,Female,123,1,1,Sales Representative,4,Single,19680,15744,7,Yes,No,20,3,1,80,1,22,0,2,31,17,8,13,Yes
41,Non-Travel,709,Research & Development,43,1,Human Resources,1,90-9025662,3,Male,123,2,1,Human Resources,3,Married,19680,15744,7,Yes,No,20,1,4,80,1,34,1,2,28,4,5,2,Yes
44,Travel_Frequently,1255,Human Resources,26,1,Technical Degree,1,35-1932586,4,Male,40,3,3,Laboratory Technician,2,Single,6400,5120,1,Yes,No,11,2,1,80,2,40,1,2,14,13,1,17,Yes
