Age,BusinessTravel,DailyRate,Department,DistanceFromHome,JobLevel,HourlyRate,MonthlyRate,MonthlyIncome,JobRole,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobSatisfaction,MaritalStatus,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
44,Travel_Rarely,872,Sales,16,2,116,18560,14848,Manager,16,Other,1,68-6826588,1,Male,3,3,Single,3,Yes,No,25,3,1,80,0,27,0,1,5,6,13,11,No
44,Travel_Rarely,1471,Human Resources,44,2,71,11360,9088,Research Director,20,Human Resources,1,60-4788420,1,Male,2,3,Married,4,Yes,No,10,1,2,80,0,27,3,2,40,13,15,5,Yes
53,Travel_Rarely,1474,Human Resources,31,3,34,5440,4352,Laboratory Technician,16,Technical Degree,1,69-8944929,2,Female,4,3,Single,0,Yes,No,17,2,2,80,2,15,3,1,36,5,2,9,No
37,Travel_Rarely,303,Research & Development,9,3,90,14400,11520,Manager,16,Medical,1,09-6511579,2,Male,2,4,Single,0,Yes,No,22,2,4,80,1,18,5,3,35,19,13,10,No
21,Travel_Rarely,353,Sales,5,2,33,5280,4224,Sales Representative,16,Human Resources,1,73-9729396,3,Male,2,4,Married,4,Yes,No,21,2,1,80,1,32,2,2,36,19,6,8,No
37,Travel_Rarely,702,Human Resources,39,1,83,13280,10624,Laboratory Technician,16,Human Resources,1,57-6230115,1,Male,3,4,Married,6,Yes,No,20,4,3,80,0,8,3,1,11,19,3,17,No
37,Travel_Rarely,1405,Human Resources,20,4,149,23840,19072,Research Scientist,20,Sales,1,35-9664888,4,Male,4,2,Single,3,Yes,No,15,2,2,80,3,3,6,4,32,0,10,14,Yes
25,Non-Travel,1383,Research & Development,24,1,127,20320,16256,Sales Representative,16,Technical Degree,1,15-5986082,2,Female,2,4,Single,3,Yes,No,13,4,4,80,0,10,6,4,33,0,15,15,Yes
31,Travel_Frequently,105,Research & Development,35,1,78,12480,9984,Sales Representative,16,Sales,1,52-6487191,1,Male,3,4,Single,8,Yes,No,16,2,2,80,0,36,2,2,6,12,9,6,No
60,Travel_Rarely,1323,Research & Development,43,4,85,13600,10880,Human Resources,16,Medical,1,52-2024050,1,Female,4,3,Married,4,Yes,No,14,2,2,80,3,4,1,4,22,2,12,13,Yes
56,Travel_Rarely,366,Sales,24,5,33,5280,4224,Manager,18,Sales,1,33-1719747,3,Male,4,4,Married,3,Yes,No,11,2,2,80,3,12,5,2,32,2,8,1,No
30,Travel_Frequently,400,Sales,20,3,145,23200,18560,Research Director,18,Life Sciences,1,86-3568290,4,Female,1,1,Married,7,Yes,No,25,3,2,80,1,21,5,3,12,17,0,16,No
34,Travel_Rarely,437,Research & Development,45,4,53,8480,6784,Human Resources,12,Sales,1,61-2379911,3,Male,3,2,Single,1,Yes,No,22,2,2,80,3,3,1,2,20,20,3,12,Yes
35,Travel_Rarely,1016,Human Resources,44,1,54,8640,6912,Healthcare Representative,16,Medical,1,17-3074315,4,Male,2,2,Single,0,Yes,No,23,3,1,80,1,19,5,4,7,0,11,5,Yes
23,Non-Travel,526,Research & Development,45,3,91,14560,11648,Sales Executive,14,Technical Degree,1,67-7505654,2,Male,1,4,Single,2,Yes,No,21,3,1,80,1,27,2,2,4,14,6,12,No
40,Non-Travel,1004,Sales,28,3,143,22880,18304,Sales Executive,16,Life Sciences,1,29-4779101,2,Female,2,2,Single,8,Yes,No,11,3,4,80,1,10,1,4,39,0,12,16,No
45,Non-Travel,815,Sales,7,4,101,16160,12928,Sales Executive,14,Life Sciences,1,53-5645781,4,Female,3,4,Married,5,Yes,No,12,3,3,80,2,7,6,3,12,5,10,17,No
47,Travel_Rarely,1092,Sales,36,2,115,18400,14720,Sales Executive,18,Human Resources,1,04-5764194,2,Male,4,1,Single,6,Yes,No,23,4,4,80,1,21,6,1,14,14,6,5,No
48,Travel_Rarely,1343,Sales,32,4,121,19360,15488,Research Scientist,16,Technical Degree,1,14-8837965,1,Male,1,3,Single,2,Yes,No,23,1,2,80,2,11,3,1,38,5,3,10,Yes
56,Travel_Rarely,698,Human Resources,30,1,110,17600,14080,Laboratory Technician,16,Technical Degree,1,56-8857986,1,Male,3,4,Married,4,Yes,No,22,3,3,80,0,30,5,4,27,17,10,15,No
39,Travel_Frequently,207,Human Resources,41,1,53,8480,6784,Sales Representative,18,Medical,1,78-5615662,4,Female,2,1,Single,5,Yes,No,12,2,4,80,0,36,0,2,19,15,8,9,No
34,Travel_Frequently,1348,Human Resources,50,3,72,11520,9216,Manufacturing Director,16,Technical Degree,1,04-4208828,2,Male,1,1,Married,6,Yes,No,18,2,4,80,2,31,1,2,21,3,2,17,No
27,Non-Travel,756,Research & Development,18,3,78,12480,9984,Human Resources,16,Medical,1,14-9443372,2,Male,3,4,Married,8,Yes,No,12,3,1,80,1,33,0,1,17,11,5,13,Yes
39,Non-Travel,518,Sales,3,5,114,18240,14592,Human Resources,14,Sales,1,09-6624752,4,Male,3,4,Married,0,Yes,No,23,3,3,80,2,6,2,4,11,18,7,2,Yes
33,Non-Travel,935,Sales,5,1,36,5760,4608,Laboratory Technician,16,Technical Degree,1,34-0890749,2,Female,2,1,Single,8,Yes,No,17,3,3,80,1,1,3,1,35,20,2,6,No
22,Travel_Frequently,1412,Research & Development,49,1,86,13760,11008,Laboratory Technician,16,Technical Degree,1,75-7827327,4,Male,1,2,Single,3,Yes,No,18,2,2,80,0,37,4,2,29,2,3,1,Yes
41,Travel_Rarely,375,Human Resources,34,1,128,20480,16384,Healthcare Representative,16,Human Resources,1,08-8581524,1,Male,3,3,Married,4,Yes,No,13,2,3,80,0,13,1,3,33,7,14,13,Yes
43,Travel_Frequently,1077,Human Resources,13,4,63,10080,8064,Manager,16,Technical Degree,1,48-6348406,3,Female,3,2,Single,8,Yes,No,22,3,3,80,3,17,1,4,17,13,4,17,No
20,Travel_Frequently,901,Sales,45,1,121,19360,15488,Healthcare Representative,12,Sales,1,11-7647779,4,Female,2,4,Married,8,Yes,No,16,2,2,80,0,30,0,3,36,19,8,13,Yes
55,Non-Travel,205,Human Resources,15,4,142,22720,18176,Manufacturing Director,16,Human Resources,1,07-5918122,3,Male,4,4,Single,3,Yes,No,23,2,3,80,2,17,2,4,35,20,10,5,No
49,Travel_Frequently,1270,Sales,14,4,104,16640,13312,Research Scientist,20,Human Resources,1,56-2237683,2,Female,3,4,Single,5,Yes,No,23,4,2,80,3,40,1,4,38,0,11,1,Yes
22,Travel_Rarely,925,Sales,16,5,34,5440,4352,Manufacturing Director,14,Sales,1,73-2764713,4,Female,1,1,Single,5,Yes,No,22,2,3,80,2,23,1,3,20,9,6,15,No
20,Travel_Rarely,1280,Human Resources,17,4,121,19360,15488,Sales Executive,16,Medical,1,06-1750267,2,Male,2,3,Married,7,Yes,No,12,3,4,80,2,6,6,2,13,20,8,16,No
